<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    <strong>4) u     [m/s]  </strong>       72.5893
    <strong>5) v     [m/s]  </strong>        0.0000
    <strong>6) w     [m/s]  </strong>       -4.6404
    <strong>7) phi   [deg]  </strong>        0.0000
    <strong>8) theta [deg]  </strong>       -3.6546
    <strong>9) psi   [deg]  </strong>        0.0000
    <strong>10) p    [deg/s]</strong>        0.0000
    <strong>11) q    [deg/s]</strong>        0.0000
    <strong>12) r    [deg/s]</strong>        0.0000


<strong>> Table 2 - Control Inputs</strong>
                           <strong>Value</strong> 
                          <strong>_______</strong>

    <strong>1) dAileron  [deg]</strong>     0.0000
    <strong>2) dRudder   [deg]</strong>     0.0000
    <strong>3) dElevator [deg]</strong>     4.3908
    <strong>4) dFlap     [deg]</strong>    12.0000
    <strong>5) DEP_col   [deg]</strong>     0.0000
    <strong>6) DEP_slope [deg]</strong>     0.0000
    <strong>7) HTU       [deg]</strong>     0.5768


<strong>> Table 3 - Accelerations</strong>
                             <strong>Value</strong> 
                            <strong>_______</strong>

    <strong>1) xedot    [m/s]   </strong>    72.7375
    <strong>2) yedot    [m/s]   </strong>     0.0000
    <strong>3) zedot    [m/s]   </strong>    -0.0040
    <strong>4) udot     [m/s2]  </strong>    -0.0101
    <strong>5) vdot     [m/s2]  </strong>     0.0000
    <strong>6) wdot     [m/s2]  </strong>    -0.0055
    <strong>7) phidot   [deg/s] </strong>     0.0000
    <strong>8) thetadot [deg/s] </strong>     0.0000
    <strong>9) psidot   [deg/s] </strong>     0.0000
    <strong>10) pdot    [deg/s2]</strong>     0.0000
    <strong>11) qdot    [deg/s2]</strong>     0.0069
    <strong>12) rdot    [deg/s2]</strong>     0.0000


Va_actual =

   72.7375


Va_error =

   -0.0025


f0 =

   1.5466e-04

